x,y,waga
624069.2550437439,648914.3720456474,0.52
683090.0256734156,641159.2573586414,2.07
698825.4873858066,639118.0519620935,6.0
328572.1872013229,691657.4338130848,1.5375
336477.13535663433,690619.9201687537,4.0
340430.18093715596,690092.2953855377,11.0
585175.0813834633,657976.0601728735,4.0
789770.1223744903,631214.5899321744,5.0
329091.1902067443,695618.9088094151,1.275
348861.0058994623,693009.7807115596,5.115
668387.5854723748,651130.6180264009,7.3
680180.4717702362,649564.8252180135,10.7625
661036.0931921236,656104.5678314315,5.0
716123.3658727795,648855.1502773119,4.0
665485.4575923311,659516.1367626172,2.6624999999999996
807048.6602612645,640898.5660635605,4.0
638468.2675672158,667069.011625818,4.0
701422.2804980985,658782.4284238834,4.0
705356.4456623008,658257.2124925219,5.91
728951.801325327,655173.9329203684,6.0
752562.0599190656,652040.6643047603,5.76
346986.49129085895,709359.3333531739,8.0
350945.10250240494,708860.5481193718,2.0875
564122.7135434513,680792.2628940782,4.0
575944.787554007,679260.146257055,4.0
595655.6517989588,676661.8984335167,5.0
619294.0902252749,673550.126326534,5.0
631102.2709136977,672031.2395043494,5.0
737342.9631577521,658043.4905436225,2.0374999999999996
757008.2253079349,655459.300280991,20.0
410741.23496546614,704947.6016086014,9.0
631611.2456536205,675968.8096041847,6.0
573045.3100441023,687668.5201992411,4.0
592743.1272047999,685072.7190012597,0.21
600636.5391252456,684013.4035045793,7.975
710851.1870716759,669529.9778916072,2.55
765899.2713503835,662283.1733462885,0.6
328748.9833237895,723802.6145890132,12.86
435487.96778212825,709749.4893394262,6.0
601152.7437081914,687946.833497622,5.0
664139.1863368824,679675.3687995952,11.0
672008.9505228854,678623.907735344,4.0
691701.8993851971,676053.5644459547,7.220000000000001
699586.5223837697,675048.6591807157,4.244999999999999
774271.2955317579,665164.6601450657,5.0
337177.44149953505,726696.2481794646,5.0
589824.2292442826,693470.796990078,4.0
345610.9230872368,729604.6515885806,5.0
590335.8768517257,697402.7389418669,10.344999999999999
621880.2890469376,693231.2574865194,5.0
645500.4557111062,690185.166655208,5.0
783137.911078146,671995.7356991284,4.7375
437047.55066432373,721610.6673338646,11.1
590862.8055319897,701335.0896545304,7.65
638164.3251457931,695163.9703231081,4.0
665690.1270644914,691497.0667702463,6.55
673560.8646214646,690456.4608667977,5.0
697200.1108589807,687372.6480794493,1.1749999999999998
433631.954981879,726088.0402388275,2.58
674083.8947891502,694401.1371533927,4.0
689826.2483239726,692333.8764574388,0.775
713439.9397999975,689227.3161134021,0.37
744900.5682921151,685016.148870403,8.0
764568.3215087908,682472.5282490766,1.84
788092.3299676205,679355.0961305462,3.9124999999999996
363007.34003871033,739387.7892805235,2.73
406497.84771554754,733683.4916142477,4.32
414378.90699139144,732638.549735155,0.89
469636.3953560191,725307.4103692155,0.75
544643.9549845861,715479.0476291766,4.0
666740.269353149,699370.1811760766,5.0
765083.6919527105,686404.5626128782,6.0
792521.4217056422,682783.523571441,5.0
627885.2392240639,708473.8184433905,8.0
730197.7224970728,694961.2866252838,1.62
749860.2716553815,692359.302793812,4.2625
596878.5106413994,716562.2028122889,4.0
659910.729899974,708222.9971307842,4.0
707133.8743990817,702030.3656657394,6.6899999999999995
711057.7843975131,701512.1041040123,4.0
734661.3007131825,698389.8322164882,4.59
758245.7159051932,695272.5776265776,4.32
773958.2810259591,693221.6107853968,0.51
777883.936271701,692702.9036277588,2.8725
785720.1932020563,691677.8152971026,0.87
404120.4665542828,746028.595712075,5.4
593449.0768890992,720997.5452693524,4.0874999999999995
617080.8274824191,717895.8635797426,5.43
684029.7536739218,709096.7650940418,12.0
707652.107236323,705952.7369914763,4.0
711580.9875524666,705435.3641607184,2.53
731244.0132976365,702856.2100566886,5.0
582183.908487951,726602.138016671,3.6999999999999997
660949.5989215996,716052.8008808307,3.3
778910.8621660088,700572.398567589,4.0
794563.3623913657,698563.8792078029,3.9124999999999996
432772.96788045485,750298.5989960078,4.0
681667.1631395,721364.1839546235,4.0
693463.805272366,719814.5001705308,5.0
705272.6970509895,718239.199537538,1.44
768686.2225536226,713933.3636272047,3.9124999999999996
426959.22362723475,767160.8251487957,4.0
734346.8524452521,726473.184763208,6.35
762390.1378239394,726727.6159723625,14.75
755053.4492827251,731664.4291512165,15.0
