x,y,waga
521993.0805253807,193387.59637672827,3.0
525931.8362198679,192904.92204170674,1.04
529871.4658292489,192397.20405443478,0.87
537753.0785199306,191390.21847297344,1.8375
541694.987396059,190891.0620905487,4.0
545637.6547356003,190394.76008311287,2.7425
549581.0799103968,189901.31271868106,1.0
553525.263387741,189410.6091273725,1.745
561415.8974489263,188437.99007600546,2.0
565362.3464687904,187956.07517559547,1.0
573257.5090782235,187000.7026316151,2.0
577188.5346775402,186499.20442333352,0.7949999999999999
581120.3497400241,186000.5371994879,2.0
588986.3458171574,185011.69694165606,4.0
592920.5256181399,184521.524534693,1.0
596855.5648141048,184034.18565216288,1.19
636251.1654015847,179205.38747896347,0.3575
644104.5186715506,178239.37697460502,1.0
730665.8461352474,167575.32033815328,0.4875
742443.101452759,166543.69652683288,1.0
769932.7166848187,162686.59423186816,2.0
482984.1803104193,202122.42501479946,4.0
486942.3502231169,201639.0715559749,1.92
490901.21243221354,201158.61118090153,2.925
494860.83841016795,200681.04402054008,0.8724999999999999
498809.830026667,200206.26178114023,1.5725
502759.5101192089,199734.46796099655,1.0
518538.2037770357,197806.51173676737,1.8900000000000001
526418.4070211528,196825.056585012,2.0
530359.7566267868,196324.72516544443,2.9375
534301.8583128006,195827.14223168232,0.7575
542188.23981743,194840.77801071014,2.8325
546128.1010660132,194344.84598749503,1.8075
557952.2333846907,192873.95342807472,1.0
565847.799147472,191908.001382526,1.0
573746.3879680043,190953.49761781003,1.0
581612.691586434,189954.22125721164,1.0
585546.9925871858,189458.83832518198,3.0975
589482.155277345,188966.294159282,2.0
593418.10676729,188476.58799336012,3.7275
597354.8464474991,187989.72014918458,2.745
648518.9636507538,181694.027995714,1.0
652449.428077196,181218.57777020428,1.0
668208.8847898134,179276.34547408856,1.0
683983.1772765366,177337.7120069461,1.335
762558.117825916,167562.8426783271,1.0
491392.08115514606,205103.36616011802,3.6575
495351.02808543626,204626.14926659223,2.0
499297.1870963209,204151.83028809447,1.0
503244.0347703635,203680.3880181443,1.15
519020.4905343308,201740.07920461614,1.0
522961.99220681115,201241.2931799693,0.4825
538735.5739437762,199274.9143623272,1.0
550555.655049127,197802.07434831746,4.305
554494.1528781276,197312.21888672467,1.0
562382.5875051734,196341.1757021472,0.8475
570283.0731965201,195381.80550124403,1.0
593914.7619065611,192431.61699166428,3.7175000000000002
601792.4873491477,191461.67054845486,1.0
617530.9654666145,189513.6542948559,1.0
684467.1635028748,181261.71177802794,1.0
700200.988627288,179312.92783198133,2.0
770911.286543947,170530.9650400523,3.0
495840.5826770034,208571.4337881375,1.0
535279.441227226,203697.29414458014,2.0
543172.4855584733,202740.31797741354,1.7475
551041.6614788589,201752.7851631716,1.8675000000000002
558913.8707754858,200776.55431038234,1.4575
566816.232671256,199812.18415316008,1.0
570768.5885860107,199334.199464635,1.0
586532.6253750989,197367.23220678233,2.835
590471.2326951949,196875.60917971656,1.0
704602.5079406896,182734.49682919774,0.185
732130.8133272055,179324.93391606677,0.6875
476556.47403776785,214942.45464391634,0.515
492371.5669352459,212993.41352993064,1.0
504211.0248984082,211572.43186291307,0.57
508152.89168371604,211104.67923934478,1.825
512095.4464870664,210639.69146772847,2.0
516038.8534876729,210122.00671170093,1.0
523927.97032841033,209095.15613801312,0.85
527873.6784287576,208586.10197900608,0.355
539714.8526368622,207159.78656011727,1.0
543663.4055450854,206690.14134690072,1.0
555459.913439667,205214.11767184362,1.0
571253.2940724052,203286.7784585245,2.3925
587024.217896254,201321.48888723832,2.0
590964.4994136649,200830.32681855094,1.0825
677546.4904976023,190070.68187042885,2.0
705076.2594881959,186643.44671606645,0.635
728679.0334407464,183742.98369713593,0.2725
744382.58732929,181752.47005187534,0.6925
764010.0582138109,179325.78141166084,0.5625
508646.0050654965,215030.39054550603,2.0
512590.2887435318,214558.7709297249,1.0
524414.3637103575,213036.32779166568,0.9425
528357.212300796,212534.52532424591,0.6275
532305.2265438999,212056.52227941342,3.0
552020.4808833402,209653.9561940804,0.3475
559890.4533196596,208679.309883032,2.0
